timestamp_ms,distance
130776,1
133356,4
136188,7
138772,10
141980,13
144164,16
146240,19
148548,22
150556,25
153796,28
156464,31
158832,34
161228,37
163376,40
165440,43
167592,46
170640,49
172808,52
174828,55
182808,58
210448,61
214120,64
217436,67
219568,70
221652,73
223900,76
225872,79
227952,82
231012,85
234184,88
236884,91
239696,94
242516,97
245484,100
248284,103
251132,106
254024,109
257816,112
260708,115
263728,118
266672,121
269568,124
272520,127
275732,130
278620,133
281504,136
284564,139
287496,142
290520,145
293420,148
296216,151
299276,154
302292,157
305192,160
308364,163
311404,166
314624,169
317724,172
320656,175
323744,178
327384,181
330444,184
333256,187
336292,190
339116,193
342228,196
345376,199
348380,202
351336,205
354112,208
357028,211
359952,214
362836,217
365924,220
368956,223
371920,226
374956,229
377860,232
380796,235
383856,238
386876,241
389908,244
393744,247
396680,250
399672,253
402720,256
405724,259
408592,262
411636,265
414648,268
417612,271
420820,274
423892,277
426916,280
430008,283
433204,286
436236,289
439368,292
442512,295
445880,298
449240,301
452476,304
455596,307
459916,310
462984,313
466220,316
469620,319
472904,322
476024,325
479132,328
482824,331
485920,334
489236,337
492316,340
495496,343
498612,346
501908,349
504844,352
507812,355
510884,358
513844,361
516820,364
519800,367
522908,370
525836,373
528864,376
531876,379
534788,382
538848,385
542120,388
545256,391
548344,394
551476,397
554596,400
557660,403
560748,406
563788,409
566832,412
569880,415
572940,418
575964,421
579096,424
582144,427
585284,430
588732,433
591756,436
595716,439
598572,442
601364,445
604284,448
607172,451
609996,454
612460,457
614884,460
617248,463
619528,466
621788,469
624112,472
626428,475
628572,478
630792,481
632932,484
635152,487
637364,490
639576,493
641696,496
643900,499
646016,502
648096,505
650200,508
662168,511
665096,514
668444,517
671632,520
674832,523
677932,526
680944,529
683992,532
687056,535
689900,538
692600,541
695868,544
698720,547
701700,550
704776,553
707716,556
711204,559
714464,562
717400,565
720296,568
723112,571
726708,574
729704,577
732588,580
751684,583
755652,586
759404,589
762704,592
780652,595
797920,598
801536,601
805636,604
845468,607
879808,610
883376,613
886056,616
888612,619
891068,622
893536,625
895972,628
898348,631
900864,634
903104,637
905452,640
907772,643
910196,646
912560,649
914988,652
917312,655
919864,658
922300,661
924916,664
927372,667
930548,670
932996,673
935652,676
938308,679
941088,682
943940,685
946564,688
949280,691
951836,694
954720,697
957476,700
960268,703
963292,706
966028,709
968864,712
971912,715
974760,718
977588,721
980248,724
982920,727
985864,730
988856,733
991844,736
994876,739
997776,742
1000852,745
1003752,748
1006776,751
1009856,754
1012900,757
1016308,760
1019192,763
1022204,766
1025088,769
1027952,772
1031084,775
1034020,778
1037216,781
1040340,784
1043552,787
1046792,790
1049748,793
1052688,796
1055628,799
1058968,802
1061784,805
1065424,808
1068480,811
1071524,814
1074648,817
1077456,820
1081124,823
1084416,826
1087144,829
1089812,832
1119988,835
1123232,838
1126184,841
1129148,844
1132240,847
1135320,850
1138168,853
1141148,856
1144272,859
1147148,862
1150304,865
1153132,868
1155988,871
1159044,874
1161884,877
1164740,880
1167552,883
1170440,886
1173312,889
1176292,892
1178956,895
1181956,898
1184728,901
1187440,904
1190100,907
1192716,910
1195752,913
1198484,916
1201304,919
1203944,922
1206808,925
1209404,928
1211992,931
1215088,934
1217408,937
1219884,940
1222084,943
1224364,946
1226648,949
1228980,952
1231208,955
1233476,958
1235684,961
1237868,964
1240092,967
1242372,970
1248248,973
1251376,976
1254080,979
1257056,982
1259776,985
1262616,988
1266264,991
1269156,994
1271964,997
1278244,1000
