timestamp_ms,distance
130776,1
132356,5
133936,9
135516,13
137096,17
138676,21
140256,25
141836,29
143416,33
144996,37
146576,41
148156,45
149736,49
151316,53
152896,57
154476,61
156056,65
157636,69
159216,73
160796,77
162376,81
163956,85
165536,89
167116,93
168696,97
170276,101
171856,105
173436,109
175016,113
176596,117
178176,121
179756,125
181336,129
182916,133
184496,137
186076,141
187656,145
189236,149
190816,153
192396,157
193976,161
195556,165
197136,169
198716,173
200296,177
201876,181
203456,185
205036,189
206616,193
208196,197
209776,201
211356,205
212936,209
214516,213
216096,217
217676,221
219256,225
220836,229
222416,233
223996,237
225576,241
227156,245
228736,249
230316,253
231896,257
233476,261
235056,265
236636,269
238216,273
239796,277
241376,281
242956,285
244536,289
246116,293
247696,297
249276,301
250856,305
252436,309
254016,313
255596,317
257176,321
258756,325
260336,329
261916,333
263496,337
265076,341
266656,345
268236,349
269816,353
271396,357
272976,361
274556,365
276136,369
277716,373
279296,377
280876,381
282456,385
284036,389
285616,393
287196,397
288776,401
290356,405
291936,409
293516,413
295096,417
296676,421
298256,425
299836,429
301416,433
302996,437
304576,441
306156,445
307736,449
309316,453
310896,457
312476,461
314056,465
315636,469
317216,473
318796,477
320376,481
321956,485
323536,489
325116,493
326696,497
328276,501
329856,505
331436,509
333016,513
334596,517
336176,521
337756,525
339336,529
340916,533
342496,537
344076,541
345656,545
347236,549
348816,553
350396,557
351976,561
353556,565
355136,569
356716,573
358296,577
359876,581
361456,585
363036,589
364616,593
366196,597
367776,601
369356,605
370936,609
372516,613
374096,617
375676,621
377256,625
378836,629
380416,633
381996,637
383576,641
385156,645
386736,649
388316,653
389896,657
391476,661
393056,665
394636,669
396216,673
397796,677
399376,681
400956,685
402536,689
404116,693
405696,697
407276,701
408856,705
410436,709
412016,713
413596,717
415176,721
416756,725
418336,729
419916,733
421496,737
423076,741
424656,745
426236,749
427816,753
429396,757
430976,761
432556,765
434136,769
435716,773
437296,777
438876,781
440456,785
442036,789
443616,793
445196,797
446776,801
448356,805
449936,809
451516,813
453096,817
454676,821
456256,825
457836,829
459416,833
460996,837
462576,841
464156,845
465736,849
467316,853
468896,857
470476,861
472056,865
473636,869
475216,873
476796,877
478376,881
479956,885
481536,889
483116,893
484696,897
486276,901
487856,905
489436,909
491016,913
492596,917
494176,921
495756,925
497336,929
498916,933
500496,937
502076,941
503656,945
505236,949
506816,953
508396,957
509976,961
511556,965
513136,969
514716,973
516296,977
517876,981
519456,985
521036,989
522616,993
524196,997
525776,1001
527356,1005
528936,1009
530516,1013
532096,1017
533676,1021
535256,1025
536836,1029
538416,1033
539996,1037
541576,1041
543156,1045
544736,1049
546316,1053
547896,1057
549476,1061
551056,1065
552636,1069
554216,1073
555796,1077
557376,1081
558956,1085
560536,1089
562116,1093
563696,1097
565276,1101
566856,1105
568436,1109
570016,1113
571596,1117
573176,1121
574756,1125
576336,1129
577916,1133
579496,1137
581076,1141
582656,1145
584236,1149
585816,1153
587396,1157
588976,1161
590556,1165
592136,1169
593716,1173
595296,1177
596876,1181
598456,1185
600036,1189
601616,1193
603196,1197
604776,1201
606356,1205
607936,1209
609516,1213
611096,1217
612676,1221
614256,1225
615836,1229
617416,1233
618996,1237
620576,1241
622156,1245
623736,1249
625316,1253
626896,1257
628476,1261
630056,1265
631636,1269
633216,1273
634796,1277
636376,1281
637956,1285
639536,1289
641116,1293
642696,1297
644276,1301
645856,1305
647436,1309
649016,1313
650596,1317
652176,1321
653756,1325
655336,1329
656916,1333
658496,1337
660076,1341
661656,1345
663236,1349
664816,1353
666396,1357
667976,1361
669556,1365
671136,1369
672716,1373
674296,1377
675876,1381
677456,1385
679036,1389
680616,1393
682196,1397
683776,1401
685356,1405
686936,1409
688516,1413
690096,1417
691676,1421
693256,1425
694836,1429
696416,1433
697996,1437
699576,1441
701156,1445
702736,1449
704316,1453
705896,1457
707476,1461
709056,1465
710636,1469
712216,1473
713796,1477
715376,1481
716956,1485
718536,1489
720116,1493
