timestamp_ms,distance
130776,1
136356,2
141936,3
147516,4
153096,5
158676,6
164256,7
169836,8
175416,9
180996,10
186576,11
192156,12
197736,13
203316,14
208896,15
214476,16
220056,17
225636,18
231216,19
236796,20
242376,21
247956,22
253536,23
259116,24
264696,25
270276,26
275856,27
281436,28
287016,29
292596,30
298176,31
303756,32
309336,33
314916,34
320496,35
326076,36
331656,37
337236,38
342816,39
348396,40
353976,41
359556,42
365136,43
370716,44
376296,45
381876,46
387456,47
393036,48
398616,49
404196,50
409776,51
415356,52
420936,53
426516,54
432096,55
437676,56
443256,57
448836,58
454416,59
459996,60
465576,61
471156,62
476736,63
482316,64
487896,65
493476,66
499056,67
504636,68
510216,69
515796,70
521376,71
526956,72
532536,73
538116,74
543696,75
549276,76
554856,77
560436,78
566016,79
571596,80
577176,81
582756,82
588336,83
593916,84
599496,85
605076,86
610656,87
616236,88
621816,89
627396,90
632976,91
638556,92
644136,93
649716,94
655296,95
660876,96
666456,97
672036,98
677616,99
683196,100
688776,101
694356,102
699936,103
705516,104
711096,105
716676,106
722256,107
727836,108
733416,109
738996,110
744576,111
750156,112
755736,113
761316,114
766896,115
772476,116
778056,117
783636,118
789216,119
794796,120
800376,121
805956,122
811536,123
817116,124
822696,125
828276,126
833856,127
839436,128
845016,129
850596,130
856176,131
861756,132
867336,133
872916,134
878496,135
884076,136
889656,137
895236,138
900816,139
906396,140
911976,141
917556,142
923136,143
928716,144
934296,145
939876,146
945456,147
951036,148
956616,149
962196,150
967776,151
973356,152
978936,153
984516,154
990096,155
995676,156
1001256,157
1006836,158
1012416,159
1017996,160
1023576,161
1029156,162
1034736,163
1040316,164
1045896,165
1051476,166
1057056,167
1062636,168
1068216,169
1073796,170
1079376,171
1084956,172
1090536,173
1096116,174
1101696,175
1107276,176
1112856,177
1118436,178
1124016,179
1129596,180
1135176,181
1140756,182
1146336,183
1151916,184
1157496,185
1163076,186
1168656,187
1174236,188
1179816,189
1185396,190
1190976,191
1196556,192
1202136,193
1207716,194
1213296,195
1218876,196
1224456,197
1230036,198
1235616,199
1241196,200
1246776,201
1252356,202
1257936,203
1263516,204
1269096,205
1274676,206
1280256,207
1285836,208
1291416,209
1296996,210
1302576,211
1308156,212
1313736,213
1319316,214
1324896,215
1330476,216
1336056,217
1341636,218
1347216,219
1352796,220
1358376,221
1363956,222
1369536,223
1375116,224
1380696,225
1386276,226
1391856,227
1397436,228
1403016,229
1408596,230
1414176,231
1419756,232
1425336,233
1430916,234
1436496,235
1442076,236
1447656,237
1453236,238
1458816,239
1464396,240
1469976,241
1475556,242
1481136,243
1486716,244
1492296,245
1497876,246
1503456,247
1509036,248
1514616,249
1520196,250
1525776,251
1531356,252
1536936,253
1542516,254
1548096,255
1553676,256
1559256,257
1564836,258
1570416,259
1575996,260
1581576,261
1587156,262
1592736,263
1598316,264
1603896,265
1609476,266
1615056,267
1620636,268
1626216,269
1631796,270
1637376,271
1642956,272
1648536,273
1654116,274
1659696,275
1665276,276
1670856,277
1676436,278
1682016,279
1687596,280
1693176,281
1698756,282
1704336,283
1709916,284
1715496,285
1721076,286
1726656,287
1732236,288
1737816,289
1743396,290
1748976,291
1754556,292
1760136,293
1765716,294
1771296,295
1776876,296
1782456,297
1788036,298
